name	type_id	id	lat	lng
FROM-FARM八亩农场(新日式料理)	1	29594794	39.935545	116.453723	27
庆云楼(什刹海店)	1	3529	39.93898	116.39408	27
六合顺(东大街店)	1	29597146	39.858405	116.294311	27
三里屯	3	33531148	39.934959	116.45436	27
82号小院	1	29587718	39.930555	116.48479	27
西贝莜面村(大兴宜家店)	1	29594738	39.788180932759	116.32841941768	27
三元梅园(西四店)	1	5482	39.921539	116.373344	27
七八冷面(欢乐谷店)	1	29587774	39.86545	116.50055	27
中国人民大学	3	6627897	39.970547	116.313364	27
杨家火锅(三里屯店)	1	849304	39.936824344375	116.44429676992	27
乐三里屯面馆(三里屯店)	1	155705	39.936912	116.454792	27
壳儿	1	29588314	39.936547	116.445357	28
福楼法餐厅-FLO	1	9096	39.963456	116.470419	28
初缘日式居酒屋	1	29592714	39.805172	116.493496	28
那家小馆(大兴店)	1	13802641	39.765458	116.343846	28
新光天地	4	21346	39.91019821167	116.47899627686	28
定都阁	3	7402692	39.907168030739	116.05591244996	28
全聚德烤鸭店(玉泉路店)	1	21541	39.907046	116.254426	28
很久以前羊肉串(簋街店)	1	29595694	39.94116	116.42064	28
南门涮肉(东河沿店)	1	837954	39.950306	116.411855	28
西贝莜面村(朝阳大悦城店)	1	9511547	39.924141	116.519051	28
尚品日餐	1	29592042	39.910717	116.320302	28
君太百货	4	22913	39.909519195557	116.37371063232	28
胖妹面庄	1	29598518	39.939359	116.416341	28
渔藤日本料理(万柳东路店)	1	29591738	39.971338	116.301734	28
Tavola-Italian-Dining	1	7664209	39.951752	116.464082	28
野人牧坊(北京apm店)	1	29594502	39.914692	116.411859	29
眉州东坡(中间艺术园店)	1	29584510	39.954098	116.229969	29
小吊梨汤(日坛店)	1	173801	39.920012	116.443424	29
很久以前羊肉串(朝阳店)	1	29587266	39.915333	116.499826	29
北京-乐多港奇幻乐园	3	16511256	40.234237	116.190444	29
palms-L.A.-kitchen-and-bar洛杉矶厨房酒吧(鼓楼店)	1	29554786	39.94454	116.39438	29
青玉酸奶	1	29554122	39.936583	116.398557	29
很久以前羊肉串(花家地店)	1	29594022	39.985557	116.46889	29
越鲜(建国门店)	1	29595054	39.909454	116.443532	29
膳麒轩武烤新料理(石景山店)	1	29596462	39.918012	116.190159	29
裕德孚老北京涮羊肉	1	6344	39.940785	116.418144	29
北京颐和园石舫	3	11603	39.998143	116.269872	29
龙潭公园	3	6933	39.878675	116.440654	29
海底捞火锅(崇文门新世界百货店)	1	29598434	39.898072	116.418088	29
Awfully-chocolate(朝阳大悦城店)	1	29594466	39.924515	116.518621	29
西单翅酷(西单店)	1	857737	39.909718	116.377771	30
院落创意菜(地安门店)	1	842308	39.933295	116.384166	30
局气(恒泰广场店)	1	29598270	39.86619	116.30607	30
尼积小栈(南锣鼓巷总店)	1	29551694	39.938198	116.402998	30
泰莲庭鲟鱼旅行餐厅	1	29592506	40.43436	116.58788	30
鬼味烤翅	1	4854	39.93826675415	116.40068054199	30
望京SOHO	3	8590449	39.9964515	116.4814403	30
伊豆野菜村(金融街购物中心店)	1	29598742	39.916151	116.360873	30
